,price_USD,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude,type_casa,type_departamento,type_ph
94,250000.0,70.0,2.0,2136.5548604191617,2.0,-34.54817,-58.55783,0,1,0
95,87000.0,41.0,1.0,2136.5548604191617,1.0,-34.548546,-58.55709,0,1,0
96,160000.0,92.0,3.0,2136.5548604191617,1.0,-34.548412,-58.558342,1,0,0
97,130000.0,106.0,2.0,2136.5548604191617,2.0,-34.54899,-58.55502,0,0,1
98,125000.0,56.0,2.0,2136.5548604191617,1.0,-34.546497,-58.552734,0,1,0
99,160000.0,72.0,3.0,2136.5548604191617,1.0,-34.54895,-58.55651,0,1,0
100,360000.0,140.0,4.0,2136.5548604191617,3.0,-34.5444,-58.55357,0,1,0
101,158000.0,82.0,2.0,2136.5548604191617,1.0,-34.54569,-58.5555,0,0,1
102,480000.0,400.0,5.0,2136.5548604191617,4.0,-34.54621,-58.550926,1,0,0
103,160000.0,78.0,2.0,2136.5548604191617,1.0,-34.54538,-58.55424,0,0,1
104,170000.0,53.0,1.0,2136.5548604191617,1.0,-34.54974,-58.55595,0,1,0
105,72000.0,45.0,1.0,2136.5548604191617,1.0,-34.54898,-58.55363,0,1,0
106,90000.0,53.0,1.0,2136.5548604191617,1.0,-34.54787,-58.55605,0,1,0
107,220000.0,84.0,2.0,2136.5548604191617,1.0,-34.5438,-58.55463,1,0,0
108,105000.0,48.0,1.0,2136.5548604191617,1.0,-34.546497,-58.552734,0,1,0
109,153000.0,68.0,2.0,2136.5548604191617,2.0,-34.54574,-58.554646,0,1,0
110,58000.0,29.0,1.0,2136.5548604191617,1.0,-34.549572,-58.55457,0,1,0
111,149000.0,58.0,2.0,2136.5548604191617,1.0,-34.548054,-58.55434,0,1,0
112,95000.0,50.0,1.0,2136.5548604191617,1.0,-34.545708,-58.5537,0,1,0
113,85000.0,40.0,1.0,2136.5548604191617,1.0,-34.54927,-58.55463,0,1,0
114,180000.0,65.0,2.0,2136.5548604191617,2.0,-34.545605,-58.553524,0,1,0
115,68000.0,48.0,1.0,2136.5548604191617,1.0,-34.547825,-58.556293,0,1,0
116,68000.0,48.0,1.0,2136.5548604191617,1.0,-34.54785,-58.556293,0,0,1
117,185000.0,61.0,2.0,2136.5548604191617,2.0,-34.545567,-58.55362,0,1,0
118,125000.0,50.0,1.0,2136.5548604191617,1.0,-34.54787,-58.55605,0,1,0
119,399000.0,221.0,4.0,2136.5548604191617,5.0,-34.54855,-58.55388,0,1,0
120,130000.0,63.0,2.0,2136.5548604191617,1.0,-34.548054,-58.55434,0,1,0
121,87000.0,45.0,1.0,2136.5548604191617,1.0,-34.545666,-58.554268,0,1,0
122,300000.0,10.0,4.0,2136.5548604191617,3.0,-34.54855,-58.556965,0,1,0
123,245000.0,103.0,3.0,2136.5548604191617,1.0,-34.54764,-58.55485,0,1,0
124,162000.0,70.0,2.0,2136.5548604191617,2.0,-34.547615,-58.558475,0,1,0
125,85000.0,32.0,0.0,2136.5548604191617,1.0,-34.547745,-58.557053,0,1,0
126,217000.0,100.0,2.0,2136.5548604191617,1.0,-34.54994,-58.55472,0,1,0
127,115000.0,50.0,2.0,2136.5548604191617,1.0,-34.546597,-58.553253,0,1,0
128,78000.0,50.0,1.0,2136.5548604191617,1.0,-34.54803,-58.55637,0,1,0
129,107000.0,42.0,1.0,2136.5548604191617,1.0,-34.54732,-58.55276,0,1,0
130,198000.0,235.0,3.0,2136.5548604191617,1.0,-34.54787,-58.55932,1,0,0
131,198000.0,199.0,3.0,2136.5548604191617,2.0,-34.547867,-58.55946,1,0,0
132,130000.0,60.0,2.0,2136.5548604191617,1.0,-34.546307,-58.552567,0,1,0
133,220000.0,84.0,2.0,2136.5548604191617,1.0,-34.543476,-58.55424,1,0,0
134,130000.0,60.0,2.0,2136.5548604191617,1.0,-34.546307,-58.552567,0,1,0
135,90000.0,40.0,1.0,2136.5548604191617,1.0,-34.548546,-58.55709,0,1,0
136,125000.0,63.0,2.0,2136.5548604191617,1.0,-34.549274,-58.554607,0,1,0
137,80000.0,42.0,1.0,2136.5548604191617,1.0,-34.548927,-58.554756,0,1,0
138,95000.0,41.0,1.0,2136.5548604191617,1.0,-34.547447,-58.553864,0,1,0
139,85000.0,45.0,1.0,2136.5548604191617,1.0,-34.54869,-58.556904,0,1,0
140,82000.0,47.0,1.0,2136.5548604191617,1.0,-34.548283,-58.554066,0,1,0
141,95000.0,57.0,1.0,2136.5548604191617,1.0,-34.548546,-58.55709,0,1,0
142,90000.0,40.0,1.0,2136.5548604191617,1.0,-34.548546,-58.55709,0,1,0
143,160000.0,90.0,2.0,2136.5548604191617,2.0,-34.54903,-58.55642,0,1,0
