,price_USD,type,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude
232,99000.0,departamento,49.0,2.0,1888.9741893737053,1.0,-34.548702,-58.55069
233,69000.0,departamento,44.0,1.0,1888.9741893737053,1.0,-34.54897,-58.54963
234,85000.0,departamento,47.0,1.0,1888.9741893737053,1.0,-34.55204,-58.552746
235,105000.0,departamento,42.0,1.0,1888.9741893737053,1.0,-34.549603,-58.55032
236,420000.0,casa,245.0,4.0,1888.9741893737053,3.0,-34.548386,-58.547794
237,150000.0,casa,95.0,3.0,1888.9741893737053,1.0,-34.553825,-58.547127
238,110000.0,ph,54.0,2.0,1888.9741893737053,1.0,-34.55183,-58.553013
239,79000.0,departamento,48.0,1.0,1888.9741893737053,1.0,-34.55137,-58.55169
240,99000.0,departamento,50.0,1.0,1888.9741893737053,1.0,-34.550632,-58.55045
241,150000.0,ph,108.0,3.0,1888.9741893737053,2.0,-34.55261,-58.55382
242,220000.0,departamento,90.0,2.0,1888.9741893737053,2.0,-34.54824,-58.54849
243,89000.0,departamento,38.0,1.0,1888.9741893737053,1.0,-34.550232,-58.551937
244,165000.0,departamento,70.0,2.0,1888.9741893737053,2.0,-34.54884,-58.55122
245,107000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.54941,-58.5525
246,69000.0,departamento,65.0,2.0,1888.9741893737053,1.0,-34.550865,-58.55549
247,110000.0,departamento,60.0,3.0,1888.9741893737053,1.0,-34.548702,-58.55069
248,175000.0,ph,90.0,3.0,1888.9741893737053,2.0,-34.552094,-58.55294
249,128000.0,ph,80.0,1.0,1888.9741893737053,1.0,-34.55061,-58.5551
250,93000.0,departamento,50.0,2.0,1888.9741893737053,1.0,-34.55185,-58.55324
251,160000.0,departamento,100.0,2.0,1888.9741893737053,3.0,-34.55015,-58.55226
252,82500.0,departamento,35.0,1.0,1888.9741893737053,1.0,-34.55078,-58.550922
253,195000.0,casa,100.0,3.0,1888.9741893737053,1.0,-34.54968,-58.546696
254,105000.0,departamento,50.0,2.0,1888.9741893737053,1.0,-34.55185,-58.55324
255,132000.0,ph,72.0,2.0,1888.9741893737053,1.0,-34.55324,-58.547962
256,95000.0,ph,80.0,2.0,1888.9741893737053,1.0,-34.550953,-58.545143
257,160000.0,casa,130.0,4.0,1888.9741893737053,2.0,-34.5532,-58.54764
258,60000.0,departamento,36.0,1.0,1888.9741893737053,1.0,-34.548748,-58.550602
259,280000.0,casa,270.0,3.0,1888.9741893737053,4.0,-34.55354,-58.54724
260,58000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.54952,-58.54705
261,150000.0,departamento,80.0,2.0,1888.9741893737053,1.0,-34.550385,-58.552586
262,69000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.5479,-58.55189
263,200000.0,departamento,90.0,3.0,1888.9741893737053,2.0,-34.55046,-58.55148
264,100000.0,departamento,44.0,1.0,1888.9741893737053,1.0,-34.548756,-58.551636
265,220000.0,departamento,100.0,3.0,1888.9741893737053,2.0,-34.550438,-58.55147
266,85000.0,departamento,72.0,2.0,1888.9741893737053,1.0,-34.55186,-58.55137
267,110000.0,departamento,54.0,2.0,1888.9741893737053,1.0,-34.55045,-58.55332
268,650000.0,casa,436.0,3.0,1888.9741893737053,6.0,-34.550823,-58.552315
269,350000.0,departamento,96.0,2.0,1888.9741893737053,2.0,-34.54968,-58.55232
270,310000.0,casa,220.0,3.0,1888.9741893737053,3.0,-34.554806,-58.55019
271,138000.0,departamento,78.0,2.0,1888.9741893737053,1.0,-34.550407,-58.551197
272,76000.0,departamento,36.0,1.0,1888.9741893737053,1.0,-34.55156,-58.55341
273,85000.0,departamento,39.0,1.0,1888.9741893737053,1.0,-34.55045,-58.55332
274,78000.0,departamento,35.0,0.0,1888.9741893737053,1.0,-34.54824,-58.54849
275,99000.0,departamento,49.0,2.0,1888.9741893737053,1.0,-34.54862,-58.55074
276,78000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.55264,-58.55255
277,75000.0,departamento,53.0,1.0,1888.9741893737053,1.0,-34.55192,-58.55287
278,85000.0,departamento,50.0,1.0,1888.9741893737053,1.0,-34.55098,-58.55217
279,110000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.55046,-58.55148
280,225000.0,ph,90.0,4.0,1888.9741893737053,1.0,-34.55266,-58.55384
281,67500.0,departamento,35.0,1.0,1888.9741893737053,1.0,-34.55098,-58.55217
282,560000.0,casa,265.0,4.0,1888.9741893737053,4.0,-34.55126,-58.55078
283,82000.0,departamento,42.0,1.0,1888.9741893737053,1.0,-34.55041,-58.54933
284,60000.0,departamento,29.0,1.0,1888.9741893737053,1.0,-34.54821,-58.54701
285,165000.0,ph,155.0,2.0,1888.9741893737053,1.0,-34.547035,-58.550327
