,price_USD,type,covered_surface_m2,bedrooms,bathrooms,latitude,longitude,seller,antiquity
1881,130000.0,ph,125.0,2.0,1.0,-34.587917,-58.54099,BARBARO PROPIEDADES,40.0
1882,380000.0,casa,190.0,,,,,EDUARDO RUIZ PROPIEDADES,
1883,140000.0,casa,130.0,2.0,1.0,-34.57505,-58.559097,BARBARO PROPIEDADES,15.0
1884,98000.0,casa,120.0,3.0,2.0,-34.54784,-58.5471,Alonso Inmobiliaria,20.0
1885,84000.0,departamento,44.0,1.0,1.0,-34.57657,-58.53148,BARBARO PROPIEDADES,
1886,199500.0,casa,218.0,3.0,2.0,-34.50576,-58.58249,Perez Propiedades,
1887,135000.0,departamento,60.0,1.0,1.0,-34.573563,-58.536377,BARBARO PROPIEDADES,0.0
1888,85000.0,departamento,40.0,0.0,,-34.573563,-58.536377,BARBARO PROPIEDADES,0.0
1889,195000.0,departamento,76.0,2.0,1.0,-34.573563,-58.536377,BARBARO PROPIEDADES,0.0
1890,560000.0,casa,265.0,4.0,4.0,-34.55126,-58.55078,Alonso Inmobiliaria,
1891,82000.0,departamento,55.0,1.0,1.0,-34.57301,-58.53716,Alonso Inmobiliaria,
1892,135000.0,departamento,62.0,2.0,,-34.57657,-58.53148,BARBARO PROPIEDADES,
1893,70000.0,departamento,69.0,2.0,2.0,-34.531853,-58.574127,ALAN FANATICO GESTION INMOBILIARIA,0.0
1894,68000.0,departamento,57.0,2.0,1.0,-34.530804,-58.575104,O' DUCH NEGOCIOS INMOBILIARIOS,30.0
1895,60000.0,departamento,52.0,2.0,1.0,-34.530804,-58.575104,O' DUCH NEGOCIOS INMOBILIARIOS,30.0
1896,278000.0,ph,232.0,4.0,,-34.57188,-58.540424,BARBARO PROPIEDADES,15.0
1897,160000.0,departamento,64.0,2.0,1.0,,,BARBARO PROPIEDADES,1.0
1898,140000.0,departamento,75.0,2.0,1.0,-34.575077,-58.536106,BARBARO PROPIEDADES,0.0
1899,85000.0,departamento,34.0,0.0,1.0,-34.57818,-58.533836,O' DUCH NEGOCIOS INMOBILIARIOS,8.0
1900,85000.0,departamento,34.0,0.0,1.0,-34.57818,-58.533836,O' DUCH NEGOCIOS INMOBILIARIOS,8.0
1901,92000.0,departamento,64.0,1.0,1.0,-34.576405,-58.539604,BARBARO PROPIEDADES,45.0
1902,140000.0,departamento,108.0,3.0,2.0,,,BARBARO PROPIEDADES,30.0
