,price_USD,type,covered_surface_m2,bedrooms,bathrooms,antiquity,latitude,longitude,seller
3729,165000.0,casa,156.0,,,45.0,-34.543472,-58.574825,INMOBILIARIA PATRICIO TORRE
3730,99000.0,departamento,51.0,,,,-34.55305,-58.55889,INMOBILIARIA PATRICIO TORRE
3731,260000.0,ph,156.0,2.0,1.0,50.0,-37.20173,-59.84107,Montenegro Propiedades
3732,90000.0,departamento,58.0,2.0,1.0,60.0,,,FASSIO ESTUDIO INTEGRAL INMOBILIARIO
3733,115000.0,departamento,,2.0,1.0,,-34.57671,-58.540867,FASSIO ESTUDIO INTEGRAL INMOBILIARIO
3734,62000.0,departamento,40.0,1.0,1.0,15.0,-34.588654,-58.561695,Montenegro Propiedades
3735,58000.0,departamento,27.0,1.0,1.0,10.0,-34.548088,-58.57496,Montenegro Propiedades
3736,110000.0,casa,130.0,2.0,2.0,60.0,-34.551563,-58.540897,Alicia Pinasco inmobiliaria
3737,185000.0,ph,100.0,3.0,,0.0,-34.54725,-58.565014,FASANO PROPIEDADES
3738,102000.0,departamento,38.0,1.0,1.0,5.0,-34.5536,-58.5564,LAURA FARIAS PROPIEDADES
3739,82000.0,departamento,45.0,1.0,1.0,4.0,-34.574093,-58.544056,LAURA FARIAS PROPIEDADES
3740,150000.0,ph,73.0,2.0,1.0,35.0,-34.576633,-58.542282,LAURA FARIAS PROPIEDADES
3741,140000.0,departamento,58.0,2.0,2.0,0.0,-34.57428,-58.537174,LAURA FARIAS PROPIEDADES
3742,66000.0,departamento,36.0,1.0,1.0,0.0,-34.57927,-58.54232,Inmobiliaria Arquitectura Arq. FERMOSELLE
3743,130000.0,ph,90.0,2.0,1.0,30.0,-34.52428,-58.561428,Dic Propiedades S.A.
3744,590000.0,casa,250.0,5.0,4.0,30.0,-34.552856,-58.560062,Dic Propiedades S.A.
3745,60000.0,departamento,36.0,0.0,1.0,0.0,-34.581394,-58.5382,Dic Propiedades S.A.
3746,175000.0,departamento,58.0,2.0,2.0,0.0,-34.57428,-58.537174,LAURA FARIAS PROPIEDADES
3747,98000.0,departamento,58.0,2.0,2.0,0.0,-34.57428,-58.537174,LAURA FARIAS PROPIEDADES
3748,60000.0,ph,35.0,1.0,1.0,,-34.54179,-58.57092,Di Rosa Propiedades
3749,110000.0,casa,261.0,3.0,1.0,15.0,-34.55252,-58.58987,Di Rosa Propiedades
3750,95000.0,casa,100.0,5.0,3.0,,-34.57071,-58.57492,Di Rosa Propiedades
3751,80000.0,casa,97.0,3.0,1.0,,-34.54079,-58.5897,Di Rosa Propiedades
3752,160000.0,casa,180.0,2.0,1.0,,-34.56429,-58.56922,Di Rosa Propiedades
3753,78000.0,ph,82.0,2.0,1.0,,-34.55799,-58.57308,Di Rosa Propiedades
3754,60000.0,ph,60.0,1.0,1.0,,-34.56211,-58.56721,Di Rosa Propiedades
3755,85000.0,casa,80.0,2.0,1.0,,-34.54999,-58.58778,Di Rosa Propiedades
3756,105000.0,casa,55.0,2.0,1.0,,-34.56125,-58.56285,Di Rosa Propiedades
